;Marca;Preco;Preco Boleto
181;Placa de Video MSI GeForce RTX 2060 Ventus OC, 12GB, GDDR6, 192-bit, 912-V375-689;0;0
182;Placa de Video PowerColor Radeon RX 6400 ITX, 4GB, GDDR6, 64-bit, AXRX-6400-4GBD6-DH;0;0
183;Placa de Video PowerColor Radeon RX 6500 XT ITX, 4GB, GDDR6, 64-bit, AXRX-6500XT-4GBD6-DH;0;0
184;Placa de Video PowerColor Radeon RX 6500 XT Fighter OC, 4GB, GDDR6, 64-bit, AXRX-6500XT-4GBD6-DH/OC;0;0
185;Placa de Video PowerColor Radeon RX 6650 XT Hellhound OC, 8GB, GDDR6, 128-bit, AXRX-6650XT-8GBD6-3DHL/OC;0;0
186;Placa de Video PowerColor Radeon RX 6750 XT Red Devil OC, 12GB, GDDR6, 192-bit, AXRX-6750XT-12GBD6-3DHE/OC;0;0
187;Placa de Video PowerColor Radeon RX 6950 XT Red Devil OC, 16GB, GDDR6, 256-bit, AXRX-6950XT-16GBD6-3DHE/OC;0;0
188;Placa de Video Asus RTX 3070 Rog Strix V2 Gaming, LHR, 8GB, GDDR6, 256-bit, ROG-STRIX-RTX3070-8G-V2-GAMING;0;0
189;Placa de Video Galax GeForce RTX 3070 EX V3 1-Click OC, LHR, 8GB, GDDR6, 256-bit, 37NSL6MD2VXI;0;0
190;Placa de Video MSI Radeon RX 6950 XT Gaming X Trio, 16GB, GDDR6, 256-bit, 912-V395-041;0;0
191;Placa de Video MSI Radeon RX 6800 XT Gaming Z Trio, 16GB, GDDR6, 256-bit, 912-V395-013;0;0
192;Placa de Video MSI Radeon RX 6800 Gaming X Trio, 16GB, GDDR6, 256-bit, 912-V396-002;0;0
193;Placa de Video MSI Radeon RX 6750 XT Mech 2X, 12GB, GDDR6, 192-bit, 912-V399-002;0;0
194;Placa de Video MSI Radeon RX 6750 XT Gaming X Trio, 12GB, GDDR6, 192-bit, 912-V399-001;0;0
195;Placa de Video MSI Radeon RX 6700 XT Mech 2X, 12GB, GDDR6, 256-bit, 912-V398-002;0;0
196;Placa de Video MSI Radeon RX 6650 XT Mech 2X, 8GB, GDDR6, 128-bit, 912-V502-062;0;0
197;Placa de Video MSI Radeon RX 6650 XT Gaming X, 8GB, GDDR6, 128-bit, 912-V502-061;0;0
198;Placa de Video MSI Radeon RX 6600 XT Mech 2X, 8GB, GDDR6, 128-bit, 912-V502-015;0;0
199;Placa de Video MSI Radeon RX 6400 Aero ITX, 4GB, GDDR6, 64-bit, 912-V508-004;0;0
200;Placa de Video PNY Geforce RTX 3060 XLR8 Revel Epic-X RGB, 12GB, GDDR6, 192-Bit, VCG306012DFXPPB-NAC;0;0
201;Placa de Video Sapphire Radeon RX 6400 Pulse, 4GB, GDDR6, 64-Bit, 11315-01-20G;0;0
202;Placa de Video Sapphire Radeon RX 6600 Pulse, 8GB, GDDR6, 128-Bit, 11310-04-20G;0;0
203;Placa de Video Gigabyte GeForce RTX 3080 Turbo, LHR, 10GB, GDDR6X, 320-bit, GV-N3080TURBO-10GD-REV2.0;0;0
204;Placa de Video Gigabyte GeForce RTX 3080 Aorus Xtreme Waterforce WB, 12GB, GDDR6X, 384-bit, GV-N3080AORUSXWB-12GD;0;0
