index	marca	preco
174	Cadeira Gamer ThunderX3 EC3, Até 120 kg, Com Almofadas, Reclinável, Preto e Laranja - 78238	R$ 1.099,99
175	Cadeira Gamer DT3 Elise, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Azul - 13437-8	R$ 1.489,99
176	Cadeira Gamer DT3 Elise, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Vermelho - 13442-4	R$ 1.439,99
177	Cadeira Gamer Asus Rog Chariot Core SL300, Preto, Almofada Lombar, Braços 4D, Cilindro de Gás - 90GC00D0-MSG010	R$ 3.899,99
178	Cadeira Gamer Alpha Gamer Phenix, PU, Até 150 kg, Apoio de Braço 4D, Mecanismo Frog, Reclinável, Preto e Cinza - AGPHENIX-PUL-BK-GRY	R$ 1.989,99
179	Cadeira Gamer Alpha Gamer Nebula Fabric, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza e Laranja - AGNEBULA-GRY-O	R$ 1.649,99
180	Cadeira Gamer Fortrek Cruiser Black/Red - 70515	R$ 979,99
181	Cadeira Gamer ThunderX3 BC3 CAMO Military Green - 68835	R$ 1.319,99
182	Cadeira Gamer Alpha Gamer Sirius, Até 130Kg, Cilindro de Gás 4, Descanso de Braço 4D Preto e Vermelho - AGSIRIUSBKRED	R$ 699,99
183	Cadeira Gamer Alpha Gamer Nimbus,  Até 125 kg, Apoio de Braço 4D, Reclinável, Preto e Cinza- AGNIMBUSBK	R$ 1.129,99
184	Cadeira Gamer Alpha Gamer Nimbus, Até 125 kg, Apoio de Braço 4D, Reclinável, Branco e Preto - AGNIMBUSBWHT	R$ 1.029,99
185	Rodízios para Cadeiras Husky Gaming Storm, Blizzard e Hailstorm KIT C/ 5 Branco - HAC-RSBHW	R$ 94,99
186	Pistão para Cadeiras Husky Gaming Snow, Polar e Frost - HAC-PSPF	R$ 63,99
187	Cadeira Gamer Noblechairs EPIC, Black Gold - NBL-PU-GOL-002	R$ 2.849,99
